,Ticker Symbol,Ticker Sector,Ticker Industry,Company Id,Company URL,company_name,count
2971,nyse:he,Utilities,Electricity,17266,"https://www.glassdoor.com/Overview/Working-at-American-Savings-Bank-EI_IE17266.11,32.htm",American Savings Bank,28
2972,nyse:hyh,Health Care,Health Care Equipment & Services,955920,"https://www.glassdoor.com/Overview/Working-at-Halyard-Health-EI_IE955920.11,25.htm",Halyard Health,40
2973,nyse:man,Industrials,Support Services,1833,"https://www.glassdoor.com/Overview/Working-at-Right-Management-EI_IE1833.11,27.htm",Right Management,83
2974,nyse:mmp,Oil & Gas,"Oil Equipment, Services & Distribution",12837,"https://www.glassdoor.com/Overview/Working-at-Magellan-Midstream-EI_IE12837.11,29.htm",Magellan Midstream,12
2975,nyse:post,Consumer Goods,Food Producers,1069820,"https://www.glassdoor.com/Overview/Working-at-Post-Consumer-Brands-EI_IE1069820.11,31.htm",Post Consumer Brands,27
2976,nyse:rol,Consumer Services,General Retailers,241848,"https://www.glassdoor.com/Overview/Working-at-Home-Team-Pest-Defense-EI_IE241848.11,33.htm",Home Team Pest Defense,52
2977,nyse:sah,Consumer Services,General Retailers,1321805,"https://www.glassdoor.com/Overview/Working-at-EchoPark-Automotive-EI_IE1321805.11,30.htm",EchoPark Automotive,11
2978,nyse:towr,Consumer Goods,Automobiles & Parts,415851,"https://www.glassdoor.com/Overview/Working-at-Tower-International-EI_IE415851.11,30.htm",Tower International,36
2979,nyse:vvi,Industrials,Support Services,27928,"https://www.glassdoor.com/Overview/Working-at-Global-Experience-Specialists-EI_IE27928.11,40.htm",Global Experience Specialists,88
2980,lon:bok,Consumer Services,Food & Drug Retailers,10121,"https://www.glassdoor.com/Overview/Working-at-Booker-Group-EI_IE10121.11,23.htm",Booker Group,56
2981,lon:bwng,,,10295,"https://www.glassdoor.com/Overview/Working-at-N-Brown-Group-EI_IE10295.11,24.htm",N Brown Group,12
2982,lon:hik,Health Care,Pharmaceuticals & Biotechnology,40694,"https://www.glassdoor.com/Overview/Working-at-Hikma-EI_IE40694.11,16.htm",Hikma,23
